ParticipantID,Health_Status,SPEAKER_ID,Long_term_attractiveness,Short_term_attractiveness
108,0,19,5,7
108,0,20,1,6
99,1,1,3,4
99,1,2,1,1
99,1,3,1,1
99,1,4,3,1
99,1,5,1,7
99,1,6,4,3
99,1,7,6,5
99,1,8,2,1
99,1,9,7,7
99,1,10,7,1
99,0,11,1,1
99,0,12,1,1
99,0,13,1,1
99,0,14,6,1
99,0,15,1,1
99,0,16,1,1
99,0,17,1,1
99,0,18,3,1
99,0,19,8,1
99,0,20,4,5
61,1,1,8,5
61,1,2,3,8
61,1,3,4,2
61,1,4,2,6
61,1,5,9,7
61,1,6,6,3
61,1,7,8,2
61,1,8,4,7
61,1,9,6,4
61,1,10,2,5
61,0,11,3,7
61,0,12,7,9
61,0,13,7,7
61,0,14,7,8
61,0,15,6,4
61,0,16,7,3
61,0,17,4,7
61,0,18,2,9
61,0,19,8,8
61,0,20,8,2
17,1,1,2,2
17,1,2,2,2
17,1,3,2,2
17,1,4,4,5
17,1,5,8,5
17,1,6,8,8
17,1,7,2,8
17,1,8,9,8
17,1,9,4,5
17,1,10,5,8
17,0,11,2,2
17,0,12,3,2
17,0,13,3,2
17,0,14,5,5
17,0,15,2,2
17,0,16,4,2
17,0,17,2,2
17,0,18,2,5
17,0,19,8,2
17,0,20,2,5
69,1,1,3,5
69,1,2,6,7
69,1,3,7,7
69,1,4,7,7
69,1,5,7,7
69,1,6,6,5
69,1,7,2,3
69,1,8,3,6
69,1,9,4,2
69,1,10,3,6
69,0,11,6,3
69,0,12,2,1
69,0,13,7,3
69,0,14,3,6
69,0,15,1,1
69,0,16,5,7
69,0,17,1,1
69,0,18,3,4
69,0,19,3,3
69,0,20,3,2
127,1,1,6,7
127,1,2,3,8
127,1,3,6,2
127,1,4,8,3
127,1,5,2,3
127,1,6,5,8
127,1,7,2,9
127,1,8,8,9
127,1,9,7,9
127,1,10,3,8
127,0,11,3,2
127,0,12,3,8
127,0,13,4,3
127,0,14,7,6
127,0,15,3,3
127,0,16,8,7
127,0,17,3,2
127,0,18,3,3
127,0,19,7,6
127,0,20,3,7
115,1,1,8,6
115,1,2,6,7
115,1,3,7,7
115,1,4,7,4
115,1,5,7,5
115,1,6,6,7
115,1,7,6,3
115,1,8,7,7
115,1,9,6,7
115,1,10,8,9
115,0,11,7,6
115,0,12,6,6
115,0,13,5,4
115,0,14,7,7
115,0,15,3,7
115,0,16,4,4
115,0,17,3,4
115,0,18,5,5
115,0,19,4,6
115,0,20,4,7
56,1,1,8,7
56,1,2,8,7
56,1,3,8,7
56,1,4,7,7
56,1,5,8,8
56,1,6,7,6
56,1,7,8,8
56,1,8,4,7
56,1,9,9,8
56,1,10,8,8
56,0,11,7,7
56,0,12,8,7
56,0,13,2,6
56,0,14,8,8
56,0,15,2,8
56,0,16,7,7
56,0,17,7,6
56,0,18,9,7
56,0,19,8,8
56,0,20,7,8
110,1,1,6,6
110,1,2,4,2
110,1,3,4,2
110,1,4,4,2
110,1,5,2,6
110,1,6,6,4
110,1,7,2,1
110,1,8,2,2
110,1,9,1,4
110,1,10,1,1
110,0,11,2,2
110,0,12,1,2
110,0,13,6,5
110,0,14,1,1
110,0,15,1,5
110,0,16,5,5
110,0,17,1,1
110,0,18,4,3
110,0,19,1,1
110,0,20,2,1
68,1,1,5,5
68,1,2,8,5
68,1,3,8,5
68,1,4,8,5
68,1,5,8,5
68,1,6,8,8
68,1,7,3,3
68,1,8,5,5
68,1,9,5,5
