ParticipantID,Health_Status,SPEAKER_ID,Physical_Domaince,Social_Dmanice
48,0,16,7,5
48,0,17,6,5
48,0,18,2,5
48,0,19,6,5
48,0,20,6,5
125,1,1,4,6
125,1,2,5,6
125,1,3,4,4
125,1,4,7,7
125,1,5,5,4
125,1,6,6,7
125,1,7,7,8
125,1,8,6,8
125,1,9,6,7
125,1,10,8,7
125,0,11,5,3
125,0,12,6,3
125,0,13,6,4
125,0,14,7,7
125,0,15,4,3
125,0,16,5,3
125,0,17,6,6
125,0,18,6,7
125,0,19,3,6
125,0,20,7,7
2,1,1,7,7
2,1,2,7,4
2,1,3,6,3
2,1,4,3,3
2,1,5,2,6
2,1,6,2,4
2,1,7,4,7
2,1,8,5,7
2,1,9,3,7
2,1,10,4,2
2,0,11,3,4
2,0,12,7,3
2,0,13,2,8
2,0,14,8,6
2,0,15,4,6
2,0,16,7,3
2,0,17,8,7
2,0,18,7,3
2,0,19,4,6
2,0,20,7,2
12,1,1,4,4
12,1,2,1,5
12,1,3,4,5
12,1,4,4,4
12,1,5,6,6
12,1,6,6,4
12,1,7,4,4
12,1,8,6,6
12,1,9,4,7
12,1,10,5,4
12,0,11,4,4
12,0,12,3,2
12,0,13,2,4
12,0,14,5,5
12,0,15,4,4
12,0,16,5,4
12,0,17,4,5
12,0,18,3,3
12,0,19,2,1
12,0,20,3,3
34,1,1,6,4
34,1,2,7,3
34,1,3,6,4
34,1,4,2,4
34,1,5,6,7
34,1,6,8,8
34,1,7,8,7
34,1,8,4,3
34,1,9,7,6
34,1,10,4,7
34,0,11,4,5
34,0,12,7,4
34,0,13,3,4
34,0,14,2,8
34,0,15,1,3
34,0,16,4,4
34,0,17,4,6
34,0,18,6,5
34,0,19,2,4
34,0,20,7,2
67,1,1,3,4
67,1,2,5,5
67,1,3,3,4
67,1,4,4,5
67,1,5,6,2
67,1,6,4,4
67,1,7,3,3
67,1,8,7,5
67,1,9,5,5
67,1,10,3,4
67,0,11,4,5
67,0,12,4,3
67,0,13,3,6
67,0,14,3,4
67,0,15,4,4
67,0,16,4,3
67,0,17,2,4
67,0,18,4,5
67,0,19,5,4
67,0,20,5,5
93,1,1,3,5
93,1,2,8,6
93,1,3,8,5
93,1,4,3,5
93,1,5,6,7
93,1,6,5,6
93,1,7,3,6
93,1,8,5,7
93,1,9,6,8
93,1,10,2,6
93,0,11,6,5
93,0,12,1,2
93,0,13,1,6
93,0,14,6,6
93,0,15,2,8
93,0,16,2,5
93,0,17,2,1
93,0,18,6,5
93,0,19,1,6
93,0,20,4,3
113,1,1,8,5
113,1,2,6,6
113,1,3,7,7
113,1,4,9,9
113,1,5,8,8
113,1,6,8,7
113,1,7,8,9
113,1,8,8,6
113,1,9,8,7
113,1,10,9,8
113,0,11,7,9
113,0,12,9,9
113,0,13,7,9
113,0,14,9,8
113,0,15,8,8
113,0,16,4,6
113,0,17,6,8
113,0,18,7,9
113,0,19,9,9
113,0,20,8,9
55,1,1,2,7
55,1,2,9,7
55,1,3,9,3
55,1,4,6,8
55,1,5,6,3
55,1,6,5,2
55,1,7,7,4
55,1,8,2,8
55,1,9,5,9
55,1,10,6,6
55,0,11,4,6
55,0,12,1,3
55,0,13,1,3
55,0,14,5,7
55,0,15,6,6
55,0,16,4,2
55,0,17,1,6
55,0,18,5,2
55,0,19,3,4
55,0,20,2,2
44,1,1,6,7
44,1,2,5,9
44,1,3,8,8
44,1,4,7,8
44,1,5,7,9
44,1,6,8,7
44,1,7,7,8
44,1,8,8,8
44,1,9,9,7
44,1,10,8,9
44,0,11,9,9
44,0,12,8,7
44,0,13,9,9
44,0,14,9,7
44,0,15,6,9
44,0,16,9,9
44,0,17,7,8
44,0,18,8,8
44,0,19,6,9
44,0,20,7,9
97,1,1,8,3
97,1,2,9,7
97,1,3,8,6
97,1,4,8,7
97,1,5,9,5
97,1,6,8,6
97,1,7,7,4
97,1,8,8,4
97,1,9,9,5
97,1,10,6,5
97,0,11,8,6
97,0,12,8,3
97,0,13,8,7
97,0,14,8,5
97,0,15,8,5
97,0,16,8,5
97,0,17,8,8
97,0,18,8,7
97,0,19,8,4
97,0,20,9,4
71,1,1,3,4
71,1,2,7,2
71,1,3,6,6
71,1,4,2,4
71,1,5,6,3
71,1,6,7,4
71,1,7,7,7
71,1,8,6,3
71,1,9,8,7
71,1,10,7,8
71,0,11,6,6
71,0,12,3,7
71,0,13,4,4
71,0,14,6,6
71,0,15,6,6
71,0,16,3,4
71,0,17,3,5
71,0,18,6,3
71,0,19,2,3
71,0,20,4,7
16,1,1,7,2
16,1,2,4,4
16,1,3,6,3
16,1,4,6,5
16,1,5,6,3
16,1,6,7,6
16,1,7,2,8
16,1,8,8,4
16,1,9,6,3
16,1,10,4,3
16,0,11,4,7
16,0,12,2,3
16,0,13,4,6
16,0,14,4,3
16,0,15,2,1
16,0,16,6,6
16,0,17,3,6
16,0,18,3,7
16,0,19,4,7
16,0,20,4,2
14,1,1,2,5
14,1,2,5,2
14,1,3,7,4
14,1,4,3,3
14,1,5,6,2
14,1,6,5,5
14,1,7,7,7
14,1,8,4,5
14,1,9,7,8
14,1,10,3,6
14,0,11,3,6
14,0,12,5,6
14,0,13,2,3
14,0,14,3,7
14,0,15,1,1
14,0,16,4,3
14,0,17,3,4
14,0,18,3,4
14,0,19,2,5
14,0,20,4,1
96,1,1,8,7
96,1,2,4,7
96,1,3,6,5
96,1,4,6,6
96,1,5,8,7
96,1,6,3,5
96,1,7,1,2
96,1,8,1,2
96,1,9,7,2
96,1,10,2,5
96,0,11,5,4
96,0,12,1,1
96,0,13,7,8
96,0,14,8,6
96,0,15,2,3
96,0,16,8,6
96,0,17,2,1
96,0,18,7,5
96,0,19,5,3
96,0,20,1,1
40,1,1,4,7
40,1,2,5,6
40,1,3,4,6
40,1,4,5,5
40,1,5,8,2
40,1,6,6,6
40,1,7,8,5
40,1,8,4,4
40,1,9,7,7
40,1,10,6,8
40,0,11,7,4
40,0,12,6,2
40,0,13,4,5
40,0,14,3,7
40,0,15,1,2
